epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3777,1.15436,1.71409,1.4739,0.15894,0.31303,0.22832,0.14059,1.23669,1.75932,1.66102,0.0670605,0.000165525,0.000165525
2,55.157,1.08362,1.02118,1.40277,0.31235,0.51836,0.31742,0.19206,1.09555,0.91686,1.46502,0.0338897,0.000328081,0.000328081
3,81.6914,1.05749,0.93867,1.38553,0.60454,0.35533,0.34287,0.2102,1.23169,1.27673,1.57578,0.000714822,0.000486512,0.000486512
4,108.148,1.05955,0.88865,1.37499,0.54326,0.35464,0.34087,0.17409,1.26569,1.17679,1.6042,0.000481438,0.000481438,0.000481438
5,134.61,1.04628,0.85747,1.37073,0.64061,0.36734,0.38073,0.24924,1.06486,0.80558,1.43661,0.00047525,0.00047525,0.00047525
6,160.521,1.01507,0.80639,1.34533,0.59959,0.4256,0.50909,0.30892,1.04823,0.73506,1.40872,0.000469063,0.000469063,0.000469063
7,186.371,1.02361,0.79005,1.3467,0.59752,0.52803,0.52334,0.32869,1.03125,0.67512,1.41172,0.000462875,0.000462875,0.000462875
8,213.226,0.99749,0.75757,1.32609,0.69365,0.42056,0.44018,0.25148,1.08648,0.70221,1.43903,0.000456687,0.000456687,0.000456687
9,239.983,0.99082,0.7413,1.33391,0.59717,0.54511,0.54975,0.3501,0.99864,0.63443,1.36863,0.0004505,0.0004505,0.0004505
10,267.073,0.96088,0.70535,1.31054,0.75801,0.54588,0.60605,0.34951,1.04211,0.63904,1.41347,0.000444312,0.000444312,0.000444312
11,320.636,0.97685,0.70918,1.31316,0.75495,0.54056,0.61352,0.36096,1.06127,0.65583,1.4269,0.000438125,0.000438125,0.000438125
12,347.042,0.95439,0.68482,1.29521,0.62687,0.56051,0.54727,0.36554,1.02161,0.61622,1.36965,0.000431938,0.000431938,0.000431938
13,374.009,0.9517,0.68494,1.29804,0.75025,0.65129,0.66999,0.41782,0.98804,0.58695,1.36479,0.00042575,0.00042575,0.00042575
14,400.346,0.93895,0.65835,1.28742,0.72414,0.62532,0.61475,0.37513,1.00109,0.58146,1.36075,0.000419563,0.000419563,0.000419563
